objectid,filename,title,format,filesize,parentid,description,type,color,yarnweight,fibercontent,yardage,needlesize,subject,pattern,difficulty,rights
coll016,pinkshrug.jpg,Pink Shrug,image/jpg;multiple,164 KB,,"This shrug is constructed in two halves, a front and a back. They are worked separately and then joined with a three needle bind off at the top before stitching the bottom sleeves together to create the arms. I opted to shorten the length slightly and skipped the garter stitch edging on the bottom as I was extremely short on yarn for this project.",Shrug,Brown,DK,100%Alpaca,600 Yards,US Size 7,Garter Stitch;Lace;Three Needle Bind off,https://www.ravelry.com/patterns/library/effren,3/5,"All rights to the pattern for this piece go to the pattern designer, see Pattern section for further information and a link to the creator. If you are interested in using a pattern I have made myself, please feel free to reach out and I will happily talk you through my process. Any images may be used for educational purposes only."
coll017,pinkshrug.jpg,,image/jpg,,coll016,,,,,,,,,,,
coll018,pinkshrugdetails.jpg,,image/jpg,,coll016,,,,,,,,,,,
coll019,tantop.jpg,Tan Top,image/jpg;multiple,175 KB,,"A great introduction to yoke construction as well as colorwork, this top knit up quickly and avoided the dreaded sleeve island. The split hem is a nice finishing touch to add interest to an otherwise plain lower half.",Top,Tan;Red;White;Grey,Fingering,100%Wool,1000 Yards,US Size 2;US Size 5,Colorwork;Decreases;Increases;Knit in the Round;Magic Loop;Ribbed Stitch;Seamless Construction;Split Hem;Stockinette Stitch;Top Down;Yoke,https://www.ravelry.com/patterns/library/viola-tee,3/5,"All rights to the pattern for this piece go to the pattern designer, see Pattern section for further information and a link to the creator. If you are interested in using a pattern I have made myself, please feel free to reach out and I will happily talk you through my process. Any images may be used for educational purposes only."
coll020,tantop.jpg,,image/jpg,,coll019,,,,,,,,,,,
coll021,tantopdetails.jpg,,image/jpg,,coll019,,,,,,,,,,,
coll022,bluetop.jpg,Blue Top,image/jpg;multiple,201 KB,,"This top won me third place at the Minnesota State Fair in 2023! It is knit in two halves from the bottom up, then joined with a three needle bind off at the shoulders. A few knots hold the bottom together across the arms, allowing most of the lace to flow freely.",Top,Blue,Fingering,90%Merino;10%Linen,800 Yards,US Size 8,Bottom Up;Knit Flat;Lace;Seamless Construction;Split Hem;Stockinette Stitch;Three Needle Bind Off,http://ravelry.com/patterns/library/autumn-leaves-linier-top,2/5,"All rights to the pattern for this piece go to the pattern designer, see Pattern section for further information and a link to the creator. If you are interested in using a pattern I have made myself, please feel free to reach out and I will happily talk you through my process. Any images may be used for educational purposes only."
coll023,bluetop.jpg,,image/jpg,,coll022,,,,,,,,,,,
coll024,bluetopdetails.jpg,,image/jpg,,coll022,,,,,,,,,,,
coll025,creamcardigan.jpg,Cream Cardigan,image/jpg;multiple,165 KB,,"This cardigan is unique as it can be worn backwards or forwards. This was among the more challenging things I have made in part because of the complicated seamless construction for the raglan sleeves and v-neck. The button holes and complex lace also added to the difficulty, and the i-cord edging is where I made the most mistakes. ",Cardigan,Cream;Pink,Fingering,90%Merino;10%Nylon,1100 Yards,US Size 3,Bottom Up;Bobbles;Buttonholds;Decreases;I-Cord Edging;Increases;Knit Flat;Knit in the Round;Lace;Magic Loop;Pick up Stitches;Seamless Construction;Stockinette Stitch;Three Needle Bind Off,https://www.ravelry.com/patterns/library/shell-we-cardigan,5/5,"All rights to the pattern for this piece go to the pattern designer, see Pattern section for further information and a link to the creator. If you are interested in using a pattern I have made myself, please feel free to reach out and I will happily talk you through my process. Any images may be used for educational purposes only."
coll026,creamcardigan.jpg,,image/jpg,,coll026,,,,,,,,,,,
coll027,creamcardigandetails.jpg,,image/jpg,,coll026,,,,,,,,,,,
coll028,pinkpullover.jpg,Pink Pullover,image/jpg;multiple,194 KB,,"This pullover convinced me to start knitting and it turned out so soft that its like wearing a hug. The make is simple- a yoke with equal increases and sleeves to match that pull in with a series of intense deceases that create the poofy shape. The yarn is Aran weight so it knits up quickly, but is held double with a lace weight mohair to make the pullover extremely soft.",Pullover,Pink,Aran;Lace,"Aran: 62% Baby Alpaca, 9% Wool, 29% Nylon;Lace: 57% Mohair, 15% Wool, 28% Silk",1800 yards,US Size 10,Decreases;Folded Collar;Increases;Knit in the Round;Magic Loop;Ribbed Stitch;Seamless Construction;Stockinette Stitch;Top Down;Yoke,https://www.ravelry.com/patterns/library/sunday-sweater-7,1/5,"All rights to the pattern for this piece go to the pattern designer, see Pattern section for further information and a link to the creator. If you are interested in using a pattern I have made myself, please feel free to reach out and I will happily talk you through my process. Any images may be used for educational purposes only."
coll029,pinkpullover.jpg,,image/jpg,,coll028,,,,,,,,,,,
coll030,pinkpulloverdetails.jpg,,image/jpg,,coll028,,,,,,,,,,,
coll031,greymitts.jpg,Grey Mitts,image/jpg;multiple,65.5 KB,,"These mitts were made to match with the grey hood as I had leftover yarn. Rather than find a pattern, I simply knit the lace pattern from the hood in a three repeat round to the desired length, then added a thumb by picking up stitches and decreasing to fit the curve of my hand. ",Mitts,Grey,Aran,100%Wool,150 Yards,US Size 8,Decreases;Increases;Knit in the Round;Lace;Magic Loop;Pick up Stitches; Ribbed Stitch,Self Drafted,2/5,"All rights to the pattern for this piece go to the pattern designer, see Pattern section for further information and a link to the creator. If you are interested in using a pattern I have made myself, please feel free to reach out and I will happily talk you through my process. Any images may be used for educational purposes only."
coll032,greymitts.jpg,,image/jpg,,coll031,,,,,,,,,,,
coll033,greymittsdetails.jpg,,image/jpg,,coll031,,,,,,,,,,,
coll034,greyhood.jpg,Grey Hood,image/jpg;multiple,194 KB,,This hood was made to go with a vintage wool coat that sorely needed a higher collar and hood to keep me warm. The edge design features a moss stitch followed by a lace motif that runs around the face. A ribbed collar ensures that I will be sweating even in the coldest blizzard.,Hood,Grey,Aran,100%Wool,420 Yards,US Size 8,Decreases;Increases;KitchenerStitch;Knit Flat;Knit in the Round;Lace;Ribbed Stitch;Seamless Construction;Stockinette Stitch,https://www.ravelry.com/patterns/library/alasse-miriel-hooded-cowl,3/5,"All rights to the pattern for this piece go to the pattern designer, see Pattern section for further information and a link to the creator. If you are interested in using a pattern I have made myself, please feel free to reach out and I will happily talk you through my process. Any images may be used for educational purposes only."
coll035,greyhood.jpg,,image/jpg,,coll034,,,,,,,,,,,
coll036,greyhooddetails.jpg,,image/jpg,,coll034,,,,,,,,,,,
coll037,greysocks.jpg,Grey Socks,image/jpg;multiple,259 KB,,These socks were a very fun make as the complex cabling kept me entertained while the rest of the sock came together. I opted to make them slightly longer than the pattern suggested because I was having so much fun with the cabling. ,Socks,Grey,Fingering,70%Merino;20%Yak;10%Nylon,500 Yards,US Size 2,Cabling;Decreases;Fusset;Heel Flap;Increases;Kitchener Stitch;Knit in the Round;Magic Loop;Pick up Stitches;Ribbed Stitch;Seamless COnstruction;Stockinette Stitch;Top Down,https://www.ravelry.com/patterns/library/celtic-socks-3,4/5,"All rights to the pattern for this piece go to the pattern designer, see Pattern section for further information and a link to the creator. If you are interested in using a pattern I have made myself, please feel free to reach out and I will happily talk you through my process. Any images may be used for educational purposes only."
coll038,greysocks.jpg,,image/jpg,,coll037,,,,,,,,,,,
coll039,greysocksdetails.jpg,,image/jpg,,coll037,,,,,,,,,,,
coll040,pinktop.jpg,Pink Top,image/jpg;multiple,235 KB,,"This lightweight pullover features subtle cabling patterns on the bottom hem and down the sleeves. Its unique top down saddle shoulder construction, while complex, creates a boxy silhouette that displays the delicate cablework to advantage.",Top,Pink;Brown,Fingering,75%Merino;25%Nylon,1200 Yards,US Size 7,Cabling;Decreases;Increases;Knit in the Round;Magic Loop;Pick up Stitches;Ribbed Stitch;Saddle Shoulder;Seamless Construction;Stockinette Stitch;Top Down,https://www.ravelry.com/patterns/library/olive-leaf-pullover,5/5,"All rights to the pattern for this piece go to the pattern designer, see Pattern section for further information and a link to the creator. If you are interested in using a pattern I have made myself, please feel free to reach out and I will happily talk you through my process. Any images may be used for educational purposes only."
coll041,pinktop.jpg,,image/jpg,,coll040,,,,,,,,,,,
coll042,pinktopdetails.jpg,,image/jpg,,coll040,,,,,,,,,,,
coll043,greybluepurplesocks.jpg,"Grey, Blue, and Purple Socks",image/jpg;multiple,257 KB,,"These socks are designed to fit in open flats without showing. They are constructed from the toe up by increasing for the toe, knitting flat to make the sides, and then completing a heel before picking up stitches around the open edge to knit a ribbed section which helps to create a stretchy hold on the foot.",Socks,Grey;Blue;Purple,Fingering,85%Merino;15%Wool,150 Yards,US Size 2,Decreases;Garter Stitch;Gusset;Increases;Judy's Magic Cast On;Knit Flat;Knit in the Round;Magic Loop;Pick up Stitches;Ribbed Stitch;Seamless Construction;Stockinette Stitch;Toe Up;Wrap and Turns,https://www.ravelry.com/patterns/library/skimmer-socks-revisited,3/5,"All rights to the pattern for this piece go to the pattern designer, see Pattern section for further information and a link to the creator. If you are interested in using a pattern I have made myself, please feel free to reach out and I will happily talk you through my process. Any images may be used for educational purposes only."
coll044,greybluepurplesocks.jpg,,image/jpg,,coll043,,,,,,,,,,,
